Disease,Country,Hospital_Type,Treatment_Type,Stay_Days,City,Room_Type,Treatment_Cost,Travel_Expense,Stay_Cost,Total_Cost
Dental Implants,USA,Premium International,Surgical,9.0,Seoul,Semi-Private,4500.06,1378.51,2958.67,8837.24
Dental Implants,Germany,Premium International,Surgical,6.0,Mumbai,VIP Suite,11463.35,1482.59,5913.99,18859.93
Cataract Surgery,UAE,Premium International,Non-Surgical,1.0,Singapore,Semi-Private,18962.92,2028.36,284.67,21275.95
Oncology Treatment,Canada,Public,Surgical,2.0,Mumbai,Private,9282.18,2107.07,881.89,12271.15
Cosmetic Surgery,Canada,Premium International,Chemotherapy,29.0,Dubai,VIP Suite,8649.78,3329.62,40957.39,52936.8
Heart Bypass,Germany,Public,Surgical,36.0,Bangkok,VIP Suite,46111.97,975.52,36799.4,83886.89
Spinal Fusion,Canada,Public,Non-Surgical,33.0,Seoul,Semi-Private,4096.39,1151.88,9619.22,14867.49
Cataract Surgery,Australia,Premium International,Radiotherapy,8.0,Kuala Lumpur,VIP Suite,19944.41,2427.43,7235.61,29607.44
Heart Bypass,UAE,Public,Radiotherapy,15.0,Seoul,Semi-Private,16667.62,2886.72,4771.83,24326.18
Dental Implants,USA,Private,Surgical,21.0,Seoul,Semi-Private,5790.51,709.17,6202.4,12702.08
Cataract Surgery,Canada,Public,Surgical,10.0,Singapore,Semi-Private,2923.43,2125.36,3055.0,8103.79
Heart Bypass,UAE,Private,Non-Surgical,33.0,Istanbul,General Ward,39913.51,2237.17,3101.27,45251.95
Oncology Treatment,Germany,Private,Non-Surgical,9.0,Singapore,VIP Suite,42780.81,2444.53,13932.56,59157.89
Spinal Fusion,UK,Private,Radiotherapy,14.0,Istanbul,Private,9146.31,2171.59,5547.69,16865.6
Cataract Surgery,USA,Private,Surgical,28.0,Bangkok,VIP Suite,4259.82,2123.53,29153.22,35536.57
Heart Bypass,Canada,Public,Chemotherapy,30.0,Dubai,VIP Suite,24651.68,1897.78,41456.55,68006.0
Cosmetic Surgery,Canada,Public,Surgical,24.0,Bangkok,Private,10608.81,3943.72,8931.33,23483.86
Knee Replacement,Canada,Public,Non-Surgical,6.0,Dubai,General Ward,6608.48,2606.55,855.63,10070.66
Dental Implants,Australia,Private,Chemotherapy,,Mumbai,VIP Suite,3090.3,2504.88,26980.66,32575.83
Cataract Surgery,UK,Private,Chemotherapy,1.0,Singapore,Private,16464.84,539.36,584.63,17588.83
Spinal Fusion,Germany,Public,Radiotherapy,12.0,Kuala Lumpur,General Ward,3795.19,2353.26,1185.41,7333.86
Heart Bypass,Germany,Premium International,Non-Surgical,41.0,Istanbul,Private,20650.95,1291.28,15792.69,37734.92
Oncology Treatment,UK,Premium International,Non-Surgical,19.0,Kuala Lumpur,VIP Suite,66871.91,2096.98,20769.83,89738.71
Oncology Treatment,UAE,Premium International,Radiotherapy,15.0,Bangkok,Private,89420.77,1205.84,5646.31,96272.91
Cosmetic Surgery,UAE,Premium International,Non-Surgical,22.0,Kuala Lumpur,General Ward,24463.95,689.4,2075.09,27228.44
Cosmetic Surgery,Canada,Public,Radiotherapy,23.0,Singapore,Semi-Private,7890.92,3449.66,6738.31,18078.89
Spinal Fusion,UAE,Premium International,Chemotherapy,44.0,Singapore,Semi-Private,8010.81,2496.02,13566.38,24073.21
Heart Bypass,Australia,Premium International,Chemotherapy,19.0,Singapore,Private,61757.95,640.12,11248.55,73646.62
Dental Implants,Australia,Private,Non-Surgical,3.0,Kuala Lumpur,General Ward,5295.4,2287.86,289.52,7872.78
Knee Replacement,Germany,Public,Radiotherapy,26.0,Mumbai,VIP Suite,6747.13,2882.81,27263.66,36893.6
Cosmetic Surgery,USA,Private,Non-Surgical,28.0,Istanbul,VIP Suite,8608.16,1637.86,27648.32,37894.34
Knee Replacement,UK,Public,Radiotherapy,29.0,Bangkok,Private,4747.69,1550.31,12035.58,
Dental Implants,Australia,Premium International,Radiotherapy,29.0,Dubai,VIP Suite,1823.57,2767.79,40542.83,45134.18
Knee Replacement,UK,Public,Surgical,6.0,Kuala Lumpur,General Ward,6108.68,999.09,568.02,7675.79
Dental Implants,UK,Private,Chemotherapy,14.0,Istanbul,General Ward,4580.65,2849.82,1339.2,8769.67
Spinal Fusion,UAE,Private,Surgical,28.0,Mumbai,Private,5793.12,2375.42,11513.83,19682.37
Cataract Surgery,UK,Public,Surgical,10.0,Bangkok,VIP Suite,3352.28,1972.3,10042.65,15367.24
Dental Implants,UK,Public,Radiotherapy,20.0,Istanbul,VIP Suite,1487.53,2615.67,19838.31,23941.51
Cataract Surgery,UK,Private,Surgical,24.0,Mumbai,Semi-Private,13997.1,2465.51,5295.19,21757.8
Spinal Fusion,France,Public,Radiotherapy,23.0,Bangkok,VIP Suite,5343.24,2648.27,24531.1,32522.61
Cosmetic Surgery,Germany,Premium International,Chemotherapy,5.0,Singapore,General Ward,10681.0,2517.62,791.16,13989.78
Cataract Surgery,France,Premium International,Radiotherapy,26.0,Bangkok,General Ward,15987.91,1483.99,2783.68,
Oncology Treatment,France,Public,Non-Surgical,8.0,Istanbul,Private,45040.47,2167.69,3093.46,50301.61
Spinal Fusion,UK,Private,Radiotherapy,10.0,Kuala Lumpur,Private,5279.19,2066.01,3976.1,11321.3
Spinal Fusion,UK,Public,Surgical,24.0,Singapore,VIP Suite,1893.88,946.17,35552.64,38392.69
Cataract Surgery,UAE,Private,Chemotherapy,16.0,Kuala Lumpur,Semi-Private,4689.86,2254.46,3107.18,10051.49
Oncology Treatment,Canada,Public,Radiotherapy,29.0,Istanbul,VIP Suite,24603.66,1745.33,28354.79,54703.79
Heart Bypass,France,Private,Radiotherapy,8.0,Mumbai,General Ward,22193.41,544.35,779.35,23517.12
Oncology Treatment,Germany,Public,Non-Surgical,20.0,Dubai,Semi-Private,59983.08,1372.86,6267.64,67623.58
Cosmetic Surgery,UAE,Private,Chemotherapy,25.0,Dubai,General Ward,13205.95,1820.43,3938.36,18964.74
Oncology Treatment,France,Public,Surgical,1.0,Singapore,General Ward,8970.8,773.52,149.42,
Knee Replacement,Canada,Private,Surgical,10.0,Singapore,VIP Suite,15313.13,3598.27,16975.04,35886.44
Knee Replacement,Germany,Public,Chemotherapy,1.0,Seoul,VIP Suite,12303.08,2102.06,1344.02,15749.17
Spinal Fusion,Australia,Premium International,Radiotherapy,33.0,Dubai,VIP Suite,6357.46,697.53,45425.71,52480.7
Oncology Treatment,Germany,Premium International,Radiotherapy,28.0,Singapore,Private,59955.71,1802.19,19416.39,81174.28
Cataract Surgery,UAE,Private,Non-Surgical,8.0,Bangkok,Semi-Private,4326.92,884.79,1575.51,6787.22
Cosmetic Surgery,UK,Premium International,Chemotherapy,22.0,Istanbul,General Ward,7381.26,1419.75,2145.61,10946.61
Knee Replacement,UAE,Premium International,Non-Surgical,20.0,Seoul,VIP Suite,9011.45,570.03,29453.04,39034.52
Cosmetic Surgery,UK,Premium International,Radiotherapy,8.0,Seoul,Semi-Private,3944.89,3180.43,2452.01,9577.33
Oncology Treatment,France,Premium International,Chemotherapy,27.0,Mumbai,Private,64699.16,2092.5,11300.67,78092.34
Dental Implants,Canada,Premium International,Surgical,24.0,Mumbai,Semi-Private,3445.99,4606.01,4626.51,12678.5
Spinal Fusion,Germany,Private,Chemotherapy,10.0,Dubai,Semi-Private,2622.03,1063.33,3005.73,6691.09
Heart Bypass,Canada,Public,Surgical,30.0,Seoul,Semi-Private,21410.87,3524.44,9396.01,34331.31
Cataract Surgery,Germany,Public,Chemotherapy,19.0,Mumbai,General Ward,6024.22,1935.85,1912.48,9872.55
Spinal Fusion,Australia,Public,Chemotherapy,36.0,Dubai,Semi-Private,5336.75,1324.02,10697.67,17358.45
Dental Implants,UAE,Private,Radiotherapy,18.0,Istanbul,General Ward,5898.01,1489.61,1780.43,9168.05
Cosmetic Surgery,France,Premium International,Chemotherapy,17.0,Istanbul,VIP Suite,11644.34,1024.06,17736.42,30404.82
Heart Bypass,USA,Premium International,Non-Surgical,10.0,Istanbul,Semi-Private,37517.22,3291.81,2038.72,42847.76
Knee Replacement,UAE,Public,Non-Surgical,15.0,Singapore,Private,13750.49,2851.51,9008.38,25610.38
Cosmetic Surgery,UAE,Premium International,Surgical,20.0,Kuala Lumpur,VIP Suite,12350.98,2011.96,19277.19,33640.13
Heart Bypass,Australia,Private,Chemotherapy,10.0,Singapore,General Ward,44513.99,1587.86,1560.91,47662.75
Cataract Surgery,Germany,Private,Radiotherapy,2.0,Kuala Lumpur,General Ward,15959.05,1235.41,194.4,17388.85
Spinal Fusion,USA,Private,Non-Surgical,16.0,Bangkok,VIP Suite,14637.37,2572.39,16097.67,33307.43
Cataract Surgery,France,Private,Radiotherapy,2.0,Seoul,VIP Suite,13511.61,555.34,2751.46,16818.41
Heart Bypass,UK,Private,Surgical,22.0,Bangkok,Semi-Private,33469.36,1678.77,4364.73,39512.87
Knee Replacement,UAE,Public,Radiotherapy,14.0,Kuala Lumpur,Private,9220.18,2878.08,5159.63,17257.89
Cosmetic Surgery,UAE,Public,Surgical,10.0,Mumbai,Semi-Private,4272.7,,2021.0,9065.13
Spinal Fusion,UAE,Private,Radiotherapy,21.0,Bangkok,VIP Suite,7926.88,2309.88,20273.21,30509.97
Oncology Treatment,Australia,Private,Surgical,14.0,Bangkok,Private,67659.18,571.62,5867.34,74098.14
Spinal Fusion,Germany,Premium International,Surgical,36.0,Seoul,General Ward,14484.33,933.63,5727.18,21145.13
Cosmetic Surgery,Germany,Public,Chemotherapy,29.0,Seoul,Private,7996.67,3194.3,17253.96,28444.93
Cosmetic Surgery,UAE,Private,Surgical,16.0,Mumbai,Semi-Private,8196.44,1409.62,3139.27,12745.33
Cataract Surgery,France,Public,Surgical,24.0,Kuala Lumpur,General Ward,14515.71,1314.74,2369.01,18199.47
Heart Bypass,France,Premium International,Chemotherapy,41.0,Kuala Lumpur,VIP Suite,21246.07,1669.33,44926.21,67841.62
Knee Replacement,Germany,Premium International,Chemotherapy,28.0,Bangkok,Private,11884.74,1844.67,10193.08,23922.48
Cataract Surgery,Australia,Private,Non-Surgical,20.0,Istanbul,VIP Suite,2683.8,1735.78,21288.49,25708.07
Heart Bypass,UAE,Public,Surgical,7.0,Dubai,General Ward,32960.98,2347.74,996.42,36305.14
Heart Bypass,Canada,Public,Non-Surgical,38.0,Mumbai,Semi-Private,9862.07,3623.22,7802.79,21288.07
Heart Bypass,UAE,Private,Radiotherapy,19.0,Kuala Lumpur,VIP Suite,12827.13,2318.34,20579.39,35724.86
Knee Replacement,UAE,Private,Non-Surgical,1.0,Seoul,Semi-Private,6578.19,1607.27,304.81,8490.28
Dental Implants,Germany,Premium International,Radiotherapy,23.0,Istanbul,Private,2081.87,666.19,9586.57,12334.63
Spinal Fusion,USA,Private,Radiotherapy,25.0,Kuala Lumpur,Semi-Private,10285.65,3634.32,4602.84,18522.81
Cataract Surgery,Australia,Private,Non-Surgical,17.0,Bangkok,VIP Suite,10185.61,2260.95,17119.99,29566.54
Cataract Surgery,USA,Private,Surgical,6.0,Kuala Lumpur,General Ward,6364.43,1557.22,582.75,8504.4
Heart Bypass,UAE,Premium International,Non-Surgical,30.0,Seoul,Private,58107.83,662.11,18401.86,77171.79
Cataract Surgery,Australia,Public,Non-Surgical,9.0,Istanbul,Private,3196.31,1593.46,3643.43,8433.2
Dental Implants,USA,Premium International,Radiotherapy,29.0,Istanbul,Semi-Private,2504.29,4146.67,5594.67,12245.64
Cosmetic Surgery,UAE,Public,Radiotherapy,27.0,Istanbul,Private,9090.33,1006.86,10289.06,20386.25
Dental Implants,Canada,Public,Radiotherapy,27.0,Bangkok,General Ward,4448.74,1283.25,2541.27,8273.26
Knee Replacement,UAE,Private,Chemotherapy,16.0,Kuala Lumpur,Semi-Private,5181.79,2944.24,3388.61,11514.64
Dental Implants,Australia,Premium International,Radiotherapy,27.0,Istanbul,VIP Suite,3148.63,1546.28,25235.92,29930.84
Spinal Fusion,France,Public,Chemotherapy,23.0,Bangkok,Private,10226.73,2870.36,9843.23,22940.32
Heart Bypass,Australia,Premium International,Chemotherapy,15.0,Bangkok,VIP Suite,15501.92,800.97,15531.65,31834.54
Spinal Fusion,UAE,Premium International,Surgical,44.0,Seoul,Semi-Private,5576.88,1116.12,12746.78,19439.77
Cataract Surgery,USA,Private,Chemotherapy,17.0,Istanbul,Private,5581.27,1349.78,7719.32,14650.37
Knee Replacement,Australia,Premium International,Surgical,8.0,Seoul,Private,10483.45,2739.58,4382.16,17605.2
Heart Bypass,USA,Premium International,Chemotherapy,44.0,Dubai,Semi-Private,73694.67,3138.01,13118.01,89950.69
Cataract Surgery,France,Public,Radiotherapy,29.0,Seoul,Private,11084.16,1091.63,17769.67,29945.45
Dental Implants,UK,Premium International,Chemotherapy,25.0,Seoul,Private,9365.87,1402.83,14896.66,25665.36
Spinal Fusion,Australia,Private,Surgical,29.0,Dubai,VIP Suite,17334.84,2481.86,44508.0,64324.7
Oncology Treatment,USA,Private,Radiotherapy,5.0,Singapore,Private,70182.27,3182.84,2896.83,76261.95
Knee Replacement,Canada,Private,Radiotherapy,28.0,Istanbul,Semi-Private,15464.54,1519.58,5815.97,
Heart Bypass,France,Premium International,Chemotherapy,23.0,Bangkok,Private,54913.59,2464.51,8949.11,66327.21
Cataract Surgery,Canada,Private,Non-Surgical,20.0,Bangkok,VIP Suite,18416.98,1853.43,19982.2,40252.61
Oncology Treatment,France,Premium International,Surgical,19.0,Bangkok,Private,18409.29,1175.58,8149.18,27734.04
Oncology Treatment,Australia,Premium International,Surgical,27.0,Istanbul,Semi-Private,72091.3,1902.81,5425.76,79419.87
Oncology Treatment,UK,Public,Non-Surgical,7.0,Singapore,Private,45730.62,2401.3,4190.69,52322.61
Knee Replacement,France,Private,Chemotherapy,22.0,Bangkok,Semi-Private,16333.97,682.37,4593.52,21609.86
Heart Bypass,UAE,Private,Surgical,33.0,Singapore,General Ward,7279.11,990.18,4727.0,12996.29
Oncology Treatment,Canada,Premium International,Chemotherapy,6.0,Kuala Lumpur,Private,32818.29,3494.37,2372.28,38684.94
Spinal Fusion,UK,Private,Surgical,39.0,Singapore,VIP Suite,6104.48,1116.22,55392.7,62613.4
Cosmetic Surgery,Germany,Private,Chemotherapy,28.0,Seoul,Semi-Private,13985.68,1192.35,8767.37,23945.41
Cataract Surgery,Canada,Premium International,Surgical,13.0,Seoul,General Ward,17826.08,1449.97,1790.3,21066.34
Knee Replacement,Australia,Public,Surgical,21.0,Istanbul,Semi-Private,3988.31,960.61,4169.13,9118.05
Oncology Treatment,Germany,Public,Surgical,24.0,Dubai,General Ward,42481.04,2249.8,3514.09,48244.93
Cosmetic Surgery,Canada,Premium International,Non-Surgical,14.0,Mumbai,General Ward,22341.41,2938.99,1438.77,26719.17
Spinal Fusion,Germany,Public,Surgical,36.0,Dubai,Private,11229.14,849.18,22155.44,34233.75
Spinal Fusion,Germany,Premium International,Radiotherapy,11.0,Bangkok,Semi-Private,19941.34,1462.26,2182.25,23585.84
Spinal Fusion,Germany,Premium International,Radiotherapy,19.0,Mumbai,Semi-Private,17633.75,552.53,3423.14,21609.42
Oncology Treatment,UAE,Premium International,Surgical,27.0,Mumbai,VIP Suite,59973.81,1378.88,26898.34,88251.03
Oncology Treatment,Canada,Public,Radiotherapy,29.0,Kuala Lumpur,Private,38281.99,3171.86,11096.17,52550.02
Knee Replacement,France,Public,Radiotherapy,26.0,Singapore,VIP Suite,5070.14,1259.3,37257.34,43586.78
Dental Implants,UAE,Premium International,Non-Surgical,9.0,Kuala Lumpur,VIP Suite,10820.46,1671.36,8434.67,20926.49
Heart Bypass,Germany,Public,Chemotherapy,43.0,Singapore,VIP Suite,44632.91,2782.4,66170.46,113585.77
Cosmetic Surgery,Germany,Public,Surgical,7.0,Bangkok,General Ward,14685.86,815.11,691.1,16192.07
Cataract Surgery,France,Public,Surgical,24.0,Istanbul,VIP Suite,8460.83,1518.0,23937.3,33916.13
Oncology Treatment,France,Premium International,Non-Surgical,18.0,Kuala Lumpur,Semi-Private,49133.79,1308.19,3576.29,54018.27
Oncology Treatment,Australia,Premium International,Non-Surgical,12.0,Singapore,Semi-Private,77618.96,776.64,3337.21,81732.82
Spinal Fusion,France,Private,Surgical,20.0,Istanbul,Semi-Private,11555.43,1402.07,4079.45,17036.95
Oncology Treatment,USA,Private,Non-Surgical,2.0,Istanbul,Private,57771.33,1257.18,861.72,59890.23
Dental Implants,Germany,Private,Chemotherapy,20.0,Bangkok,General Ward,10055.32,2429.84,2112.62,14597.78
Oncology Treatment,Canada,Private,Non-Surgical,18.0,Dubai,Semi-Private,70788.9,1816.34,5364.14,77969.38
Spinal Fusion,France,Premium International,Non-Surgical,41.0,Bangkok,Semi-Private,19757.64,1945.57,8200.86,29904.07
Oncology Treatment,USA,Private,Chemotherapy,1.0,Istanbul,VIP Suite,56514.38,3875.38,1033.82,61423.58
Cosmetic Surgery,Germany,Private,Non-Surgical,29.0,Singapore,Private,18135.57,2440.51,17121.15,37697.23
Cataract Surgery,Canada,Public,Surgical,16.0,Dubai,VIP Suite,11017.18,4108.14,24226.82,39352.14
Spinal Fusion,Canada,Public,Radiotherapy,32.0,Kuala Lumpur,General Ward,7763.06,4044.32,3505.9,15313.28
Cosmetic Surgery,UAE,Premium International,Radiotherapy,28.0,Dubai,Private,7801.38,2942.0,16169.19,26912.57
Dental Implants,UK,Private,Chemotherapy,28.0,Kuala Lumpur,Semi-Private,6271.28,1378.64,5915.01,13564.93
Oncology Treatment,France,Public,Radiotherapy,3.0,Mumbai,Private,50871.95,1695.92,1147.8,53715.67
Knee Replacement,Canada,Premium International,Chemotherapy,20.0,Kuala Lumpur,Semi-Private,14882.08,4482.86,4039.25,23404.18
Cataract Surgery,Australia,Private,Radiotherapy,6.0,Dubai,Private,11052.08,1913.41,3450.89,16416.38
Knee Replacement,France,Premium International,Surgical,20.0,Kuala Lumpur,Semi-Private,21177.8,757.22,3966.11,25901.12
Knee Replacement,USA,Premium International,Chemotherapy,15.0,Dubai,General Ward,7739.72,962.61,2307.31,11009.64
Knee Replacement,Australia,Premium International,Chemotherapy,23.0,Dubai,VIP Suite,13507.3,1781.08,33960.82,49249.2
Cataract Surgery,Canada,Public,Surgical,18.0,Istanbul,VIP Suite,10456.07,2554.08,17844.73,30854.88
Cosmetic Surgery,Canada,Public,Radiotherapy,24.0,Singapore,Semi-Private,14660.27,1670.55,6917.7,23248.53
Cataract Surgery,UK,Public,Surgical,2.0,Singapore,VIP Suite,9228.87,1276.08,2898.81,13403.76
Dental Implants,Australia,Premium International,Non-Surgical,9.0,Istanbul,VIP Suite,9182.75,1899.28,9152.67,20234.7
Oncology Treatment,USA,Public,Non-Surgical,1.0,Kuala Lumpur,Semi-Private,42703.51,1715.51,215.06,44634.09
Cosmetic Surgery,France,Premium International,Non-Surgical,14.0,Singapore,Semi-Private,18963.99,1048.85,3966.83,23979.67
Oncology Treatment,Germany,Premium International,Radiotherapy,20.0,Seoul,Private,84760.08,2427.7,12859.27,100047.05
Oncology Treatment,France,Private,Non-Surgical,29.0,Mumbai,General Ward,57050.26,2710.46,2490.62,62251.34
Cataract Surgery,Australia,Public,Chemotherapy,23.0,Dubai,Semi-Private,9554.23,2720.77,7318.18,19593.18
Dental Implants,Germany,Private,Radiotherapy,27.0,Dubai,Semi-Private,10352.26,915.6,8496.4,19764.26
Knee Replacement,Germany,Public,Surgical,29.0,Kuala Lumpur,Semi-Private,8339.15,1739.4,5589.61,15668.17
Cosmetic Surgery,USA,Private,Chemotherapy,21.0,Mumbai,Private,14233.24,2388.47,8112.46,24734.17
Knee Replacement,Germany,Premium International,Radiotherapy,11.0,Mumbai,Semi-Private,12595.22,2856.67,2185.67,17637.56
Cataract Surgery,Germany,Public,Non-Surgical,3.0,Mumbai,Semi-Private,14554.37,1276.11,653.97,16484.45
Spinal Fusion,Australia,Public,Chemotherapy,10.0,Bangkok,General Ward,3840.57,1463.17,996.69,6300.43
Cataract Surgery,Australia,Private,Surgical,5.0,Dubai,VIP Suite,11745.39,958.59,7366.67,20070.65
Knee Replacement,Australia,Premium International,Non-Surgical,16.0,Kuala Lumpur,General Ward,8054.53,1712.19,1553.31,11320.03
Spinal Fusion,UK,Premium International,Non-Surgical,34.0,Singapore,General Ward,4191.77,2114.83,4853.82,11160.41
Heart Bypass,UK,Premium International,Radiotherapy,42.0,Mumbai,General Ward,37086.69,2996.12,3769.43,
Heart Bypass,Australia,Private,Radiotherapy,44.0,Bangkok,Private,16574.58,1639.11,17042.8,35256.48
Oncology Treatment,Canada,Public,Non-Surgical,29.0,Mumbai,VIP Suite,50217.26,4055.06,28699.82,82972.13
Heart Bypass,UK,Public,Radiotherapy,37.0,Istanbul,Semi-Private,30871.87,1631.33,8070.79,40573.99
Knee Replacement,France,Public,Radiotherapy,4.0,Istanbul,Semi-Private,12660.97,2260.95,769.99,15691.92
Knee Replacement,UK,Premium International,Chemotherapy,17.0,Kuala Lumpur,General Ward,24892.52,658.12,1841.31,27391.95
Dental Implants,Australia,Premium International,Radiotherapy,13.0,Kuala Lumpur,General Ward,2341.13,2702.32,1371.73,6415.19
Cataract Surgery,Canada,Premium International,Surgical,8.0,Bangkok,Semi-Private,12761.88,3008.56,,17314.26
Knee Replacement,Australia,Private,Surgical,16.0,Seoul,Semi-Private,8528.17,1497.73,4844.65,14870.55
Heart Bypass,UAE,Public,Radiotherapy,23.0,Bangkok,General Ward,10682.61,2593.63,2230.09,15506.33
Cataract Surgery,Canada,Premium International,Surgical,27.0,Bangkok,Private,7538.55,1809.78,11041.21,20389.54
Spinal Fusion,UK,Premium International,Chemotherapy,28.0,Mumbai,VIP Suite,22031.15,1893.79,30648.44,54573.38
Cataract Surgery,France,Premium International,Non-Surgical,25.0,Seoul,Private,21270.89,1571.72,14224.75,37067.36
Heart Bypass,UK,Premium International,Chemotherapy,10.0,Seoul,VIP Suite,63213.29,2364.2,15972.53,81550.01
Oncology Treatment,UK,Public,Radiotherapy,24.0,Singapore,VIP Suite,35116.57,2062.96,37610.98,74790.52
Dental Implants,Germany,Public,Non-Surgical,27.0,Seoul,Semi-Private,3590.34,2852.4,8665.2,15107.94
Cataract Surgery,Germany,Private,Chemotherapy,10.0,Singapore,VIP Suite,12615.88,2583.47,15405.2,30604.55
Spinal Fusion,Germany,Private,Radiotherapy,18.0,Kuala Lumpur,General Ward,4323.99,2403.15,1819.36,8546.5
Dental Implants,Germany,Public,Chemotherapy,29.0,Bangkok,Semi-Private,4978.53,3029.27,5549.17,13556.96
Heart Bypass,UK,Private,Chemotherapy,36.0,Mumbai,Private,42433.47,2413.37,14545.28,59392.12
Spinal Fusion,Australia,Premium International,Surgical,14.0,Bangkok,Private,8209.7,2806.73,5193.37,16209.8
Heart Bypass,UAE,Premium International,Surgical,15.0,Mumbai,Private,60211.53,2126.22,5985.37,68323.12
Heart Bypass,France,Premium International,Chemotherapy,13.0,Seoul,General Ward,63285.91,647.72,1826.28,65759.92
Cosmetic Surgery,USA,Public,Chemotherapy,18.0,Kuala Lumpur,Private,9678.35,1739.2,7845.96,19263.51
Knee Replacement,France,Private,Non-Surgical,29.0,Mumbai,Private,16565.75,1312.87,12166.86,30045.48
Spinal Fusion,Canada,Private,Surgical,34.0,Mumbai,VIP Suite,11602.03,926.63,33389.78,45918.43
Cosmetic Surgery,UK,Private,Radiotherapy,11.0,Bangkok,VIP Suite,3738.85,877.71,11268.06,15884.62
Oncology Treatment,France,Premium International,Surgical,9.0,Kuala Lumpur,Semi-Private,105844.01,2978.78,1764.72,110587.52
Knee Replacement,Canada,Premium International,Radiotherapy,8.0,Mumbai,Semi-Private,26100.41,4595.64,1615.81,32311.86
Cataract Surgery,France,Private,Surgical,16.0,Singapore,VIP Suite,10019.03,865.05,23846.34,34730.42
Spinal Fusion,Canada,Private,Non-Surgical,19.0,Istanbul,VIP Suite,12095.11,3664.7,19007.25,34767.06
Heart Bypass,France,Private,Surgical,20.0,Dubai,General Ward,23686.56,1978.69,3156.87,28822.12
Cosmetic Surgery,France,Premium International,Surgical,14.0,Seoul,General Ward,17648.48,1877.32,2247.44,21773.25
Heart Bypass,Canada,Premium International,Non-Surgical,20.0,Seoul,General Ward,19839.78,2348.98,3119.58,25308.34
Spinal Fusion,Australia,Premium International,Surgical,12.0,Singapore,VIP Suite,25518.84,1064.33,17686.89,44270.06
Cataract Surgery,Germany,Private,Radiotherapy,17.0,Bangkok,General Ward,7164.89,706.97,1550.92,9422.78
Cataract Surgery,Canada,Public,Non-Surgical,6.0,Kuala Lumpur,Semi-Private,11943.82,3886.17,1226.76,17056.75
Oncology Treatment,France,Private,Radiotherapy,16.0,Dubai,Private,38702.17,2232.48,9614.13,50548.77
Cosmetic Surgery,Canada,Public,Chemotherapy,13.0,Kuala Lumpur,General Ward,9558.56,1296.02,1341.99,12196.57
Dental Implants,France,Private,Radiotherapy,12.0,Kuala Lumpur,General Ward,7030.13,1331.64,1199.85,9561.62
Knee Replacement,USA,Premium International,Non-Surgical,8.0,Mumbai,Semi-Private,9851.55,2563.66,1614.86,14030.07
Spinal Fusion,Australia,Private,Radiotherapy,22.0,Istanbul,Private,6673.92,473.38,8570.13,15717.42
Oncology Treatment,France,Private,Surgical,9.0,Mumbai,Private,46690.46,1440.19,3562.91,51693.56
Cosmetic Surgery,USA,Private,Chemotherapy,15.0,Bangkok,Private,6924.76,1265.12,6299.75,14489.63
Knee Replacement,Canada,Private,Surgical,3.0,Dubai,VIP Suite,14006.72,4073.25,4834.48,22914.44
Spinal Fusion,UK,Public,Surgical,7.0,Bangkok,VIP Suite,14990.45,715.65,7036.24,22742.35
Spinal Fusion,Canada,Private,Surgical,32.0,Mumbai,Semi-Private,6518.04,1603.56,6272.11,14393.71
Dental Implants,UAE,Private,Non-Surgical,25.0,Kuala Lumpur,VIP Suite,9484.84,2883.77,23427.8,35796.4
Cataract Surgery,Canada,Private,Chemotherapy,13.0,Seoul,Private,16174.55,4397.27,7450.56,28022.38
Spinal Fusion,Canada,Public,Surgical,36.0,Dubai,Private,9615.35,3060.89,20054.91,32731.15
Cosmetic Surgery,Australia,Public,Chemotherapy,10.0,Mumbai,General Ward,2736.67,1149.67,934.88,4821.23
Spinal Fusion,USA,Private,Chemotherapy,7.0,Singapore,Semi-Private,2629.81,1046.15,2122.41,5798.38
Spinal Fusion,France,Public,Surgical,18.0,Kuala Lumpur,Semi-Private,14615.22,2416.71,3643.41,20675.34
Oncology Treatment,USA,Public,Radiotherapy,25.0,Istanbul,Private,47143.89,3221.18,10483.35,60848.42
Knee Replacement,USA,Premium International,Chemotherapy,17.0,Bangkok,Semi-Private,8546.74,2868.04,3542.81,14957.59
Cataract Surgery,Germany,Premium International,Surgical,20.0,Singapore,General Ward,12734.08,2712.09,3162.57,18608.74
Cataract Surgery,Canada,Private,Surgical,1.0,Bangkok,Private,3027.9,3258.09,407.37,6693.36
Cataract Surgery,Australia,Public,Surgical,23.0,Istanbul,Private,3855.68,1264.35,9616.31,14736.34
Cataract Surgery,Canada,Premium International,Radiotherapy,27.0,Istanbul,Semi-Private,21831.41,2072.57,5352.48,29256.46
Heart Bypass,UK,Private,Chemotherapy,14.0,Kuala Lumpur,VIP Suite,44868.68,1984.02,13882.78,60735.48
Oncology Treatment,UAE,Public,Surgical,9.0,Singapore,General Ward,48699.97,1561.9,1364.05,51625.92
Oncology Treatment,Canada,Premium International,Non-Surgical,26.0,Singapore,Semi-Private,80959.74,3203.31,8295.53,92458.58
Spinal Fusion,Germany,Private,Radiotherapy,14.0,Seoul,General Ward,2846.24,2134.99,2062.04,7043.27
Cosmetic Surgery,Germany,Public,Radiotherapy,14.0,Kuala Lumpur,Private,7733.14,615.49,5315.85,13664.48
